"ÉTUDE SALAIRE 2018 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Détails de la soumission","","","","","","","","","","","","Avez-vous un autre diplôme ?","","","","","","","","","","","Compétences mobilisées","","","","","","","","","","","","","","","","",""
"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Votre diplôme principal","Autre diplôme principal","Votre année de diplôme","non","oui","Nombre d'années d'expérience","Localisation actuelle","Autre localisation","Type actuel d'entreprise","Autre type d'entreprise","Taille de votre entreprise actuelle","Convention collective de l'entreprise","Type de poste actuel","Autre type de poste","Rédactions de documents administratifs (devis, offres, ...)","Recrutement (planification, offre, entretien, ...)","Management (gestion d'équipe, pilotage de projets)","Communication graphique et orale","Veille technique et normative","Concertation","Terrain","Réalisation de concours","Conception (phase esquisse)","Conception (phase AVP)","Conception (phase PRO)","Conception (phase DCE)","ACT - Analyse des offres","Suivi de chantiers","Commercial et relation client","Années d'ancienneté au sein de votre entreprise actuelle","Quelle est votre salaire brut annuel FIXE en 2018 (ajusté pour un temps plein) ?","Quelle est l'estimation de votre rémunération VARIABLE en 2018 ?"
"41","1253787","31/10/2018 - 10:03","31/10/2018 - 10:03","31/10/2018 - 10:03","0","0.0.0.0","0","Anonymous","INH","","2015","X","","2","Nantes","","Bureau d'études","","51-200","Syntec","Chargé(e) d'étude débutant","","X","","","X","","","X","","","","","","","","","2","23400","600"
"42","1253790","31/10/2018 - 10:04","31/10/2018 - 10:04","31/10/2018 - 10:04","0","0.0.0.0","0","Anonymous","INH","","2009","X","","9","Nantes","","Bureau d'études","","201-500","Syntec","Chef(fe) de projet","","X","X","X","X","","X","X","X","X","X","X","X","X","","X","9","35000","900"
"43","1253819","31/10/2018 - 10:10","31/10/2018 - 10:10","31/10/2018 - 10:10","0","0.0.0.0","0","Anonymous","ENSNP","","2016","X","","2","Autre","Vendôme ","Maîtrise d'œuvre","","2-5","Bet syntec","Chef(fe) de projet débutant","","X","","X","X","","X","X","X","X","X","X","X","X","X","","2","26520","0"
"44","1253883","31/10/2018 - 10:22","31/10/2018 - 10:22","31/10/2018 - 10:22","0","0.0.0.0","0","Anonymous","INH","","2015","","X","3","Toulouse","","Bureau d'études","","11-25","Syntec","Chef(fe) de projet débutant","","X","","X","X","X","","X","","","","","","","","","3","25000","1000"
"45","1253892","31/10/2018 - 10:24","31/10/2018 - 10:24","31/10/2018 - 10:24","0","0.0.0.0","0","Anonymous","ENSAPBX","","2017","X","","0","Bordeaux","","Freelance / Indépendant","","1","Entreprises paysagistes","Chargé(e) d'étude débutant","","X","","","X","","","X","X","X","X","X","","","","X","0","15000","750"
"46","1253909","31/10/2018 - 10:28","31/10/2018 - 10:28","31/10/2018 - 10:28","0","0.0.0.0","0","Anonymous","ENSAPBX","","2013","X","","4","Autre","Cognac ","Association","","2-5","Associatif","Autre","Animatrice en création de jardins pédagogiques et partagés ","X","","X","X","","X","X","X","X","X","","","","X","","7","23400","0"
"47","1253930","31/10/2018 - 10:31","31/10/2018 - 10:31","23/11/2018 - 21:17","0","0.0.0.0","0","Anonymous","ESAJ","","2017","","X","0","Paris","","Agence","","11-25","Entreprises paysagistes","Chargé(e) d'étude débutant","","","","","X","","X","X","","X","X","X","X","","","","0","24000","500"
"48","1253966","31/10/2018 - 10:43","31/10/2018 - 10:43","31/10/2018 - 10:43","0","0.0.0.0","0","Anonymous","Autre","Master en architecture du Paysage ","2016","","X","1","Lyon","","Public","","6-10","fonction publique ","Chargé(e) d'étude débutant","","X","","","X","X","X","","","","","","","X","","","1","21200","0"
"49","1253972","31/10/2018 - 10:45","31/10/2018 - 10:45","31/10/2018 - 10:45","0","0.0.0.0","0","Anonymous","INH","","2013","X","","4","Île-de-France","","Bureau d'études","","6-10","Entreprises paysagistes","Chargé(e) d'étude","","X","","","","X","","","","X","","","X","X","X","","2","24930","0"
"50","1254022","31/10/2018 - 11:01","31/10/2018 - 11:01","31/10/2018 - 11:01","0","0.0.0.0","0","Anonymous","Autre","Licence aménagement paysager","2015","","X","3","Île-de-France","","Autre","SARL privée ","6-10","Entreprises paysagistes","Chef(fe) de projet","","X","","X","X","X","X","","","X","","","","","X","X","2","31200","0"
"51","1254044","31/10/2018 - 11:05","31/10/2018 - 11:05","31/10/2018 - 11:05","0","0.0.0.0","0","Anonymous","INH","","2015","X","","2","Nantes","","Bureau d'études","","201-500","Syntec","Chef(fe) de projet","","X","X","X","X","","","X","","","","","","","","X","1","24480","250"
"52","1254062","31/10/2018 - 11:09","31/10/2018 - 11:09","31/10/2018 - 11:09","0","0.0.0.0","0","Anonymous","ENSAPBX","","2011","","X","6","Bordeaux","","Bureau d'études","","26-50","Syntec","Chef(fe) de projet","","X","","X","X","","X","X","","X","X","","","","","X","6","33000","0"
"53","1254070","31/10/2018 - 11:11","31/10/2018 - 11:11","03/11/2018 - 17:40","0","0.0.0.0","0","Anonymous","ENSAPBX","","2005","","X","12","Paris","","Agence","","2-5","Architecture","Chef(fe) de projet confirmé","","X","","X","X","","X","X","X","X","X","X","X","","","","7","28800","0"
"54","1254094","31/10/2018 - 11:14","31/10/2018 - 11:14","31/10/2018 - 11:14","0","0.0.0.0","0","Anonymous","Autre","BTS AP + licence CAO DAO","2015","X","","3","Lyon","","Bureau d'études","","26-50","Entreprises paysagistes","Chargé(e) d'étude","","X","","X","X","X","","X","X","X","X","X","X","X","X","X","1","26400","0"
